CODIGO;TITULO;
223815;Fonoaudiólogo educacional;"INSERT INTO states (code, title) VALUES ('223815','Fonoaudiólogo educacional');"
223910;Ortoptista;"INSERT INTO states (code, title) VALUES ('223910','Ortoptista');"
223905;Terapeuta ocupacional;"INSERT INTO states (code, title) VALUES ('223905','Terapeuta ocupacional');"
224110;Ludomotricista;"INSERT INTO states (code, title) VALUES ('224110','Ludomotricista');"
224115;Preparador de atleta;"INSERT INTO states (code, title) VALUES ('224115','Preparador de atleta');"
224120;Preparador físico;"INSERT INTO states (code, title) VALUES ('224120','Preparador físico');"
224105;Avaliador físico;"INSERT INTO states (code, title) VALUES ('224105','Avaliador físico');"
224130;Técnico de laboratório e fiscalização desportiva;"INSERT INTO states (code, title) VALUES ('224130','Técnico de laboratório e fiscalização desportiva');"
224135;Treinador profissional de futebol;"INSERT INTO states (code, title) VALUES ('224135','Treinador profissional de futebol');"
224125;Técnico de desporto individual e coletivo (exceto futebol);"INSERT INTO states (code, title) VALUES ('224125','Técnico de desporto individual e coletivo (exceto futebol)');"
225118;Médico nutrologista;"INSERT INTO states (code, title) VALUES ('225118','Médico nutrologista');"
225185;Médico hematologista;"INSERT INTO states (code, title) VALUES ('225185','Médico hematologista');"
225180;Médico geriatra;"INSERT INTO states (code, title) VALUES ('225180','Médico geriatra');"
225175;Médico geneticista;"INSERT INTO states (code, title) VALUES ('225175','Médico geneticista');"
225170;Médico generalista;"INSERT INTO states (code, title) VALUES ('225170','Médico generalista');"
225165;Médico gastroenterologista;"INSERT INTO states (code, title) VALUES ('225165','Médico gastroenterologista');"
225160;Médico fisiatra;"INSERT INTO states (code, title) VALUES ('225160','Médico fisiatra');"
225155;Médico endocrinologista e metabologista;"INSERT INTO states (code, title) VALUES ('225155','Médico endocrinologista e metabologista');"
225154;Médico antroposófico;"INSERT INTO states (code, title) VALUES ('225154','Médico antroposófico');"
225151;Médico anestesiologista;"INSERT INTO states (code, title) VALUES ('225151','Médico anestesiologista');"
225150;Médico em medicina intensiva;"INSERT INTO states (code, title) VALUES ('225150','Médico em medicina intensiva');"
225148;Médico anatomopatologista;"INSERT INTO states (code, title) VALUES ('225148','Médico anatomopatologista');"
225145;Médico em medicina de tráfego;"INSERT INTO states (code, title) VALUES ('225145','Médico em medicina de tráfego');"
225142;Médico da estratégia de saúde da família;"INSERT INTO states (code, title) VALUES ('225142','Médico da estratégia de saúde da família');"
225140;Médico do trabalho;"INSERT INTO states (code, title) VALUES ('225140','Médico do trabalho');"
225139;Médico sanitarista;"INSERT INTO states (code, title) VALUES ('225139','Médico sanitarista');"
225136;Médico reumatologista;"INSERT INTO states (code, title) VALUES ('225136','Médico reumatologista');"
225135;Médico dermatologista;"INSERT INTO states (code, title) VALUES ('225135','Médico dermatologista');"
225103;Médico infectologista;"INSERT INTO states (code, title) VALUES ('225103','Médico infectologista');"
225105;Médico acupunturista;"INSERT INTO states (code, title) VALUES ('225105','Médico acupunturista');"
225106;Médico legista;"INSERT INTO states (code, title) VALUES ('225106','Médico legista');"
225109;Médico nefrologista;"INSERT INTO states (code, title) VALUES ('225109','Médico nefrologista');"
225110;Médico alergista e imunologista;"INSERT INTO states (code, title) VALUES ('225110','Médico alergista e imunologista');"
225112;Médico neurologista;"INSERT INTO states (code, title) VALUES ('225112','Médico neurologista');"
225115;Médico angiologista;"INSERT INTO states (code, title) VALUES ('225115','Médico angiologista');"
225195;Médico homeopata;"INSERT INTO states (code, title) VALUES ('225195','Médico homeopata');"
225120;Médico cardiologista;"INSERT INTO states (code, title) VALUES ('225120','Médico cardiologista');"
225121;Médico oncologista clínico;"INSERT INTO states (code, title) VALUES ('225121','Médico oncologista clínico');"
225122;Médico cancerologista pediátrico;"INSERT INTO states (code, title) VALUES ('225122','Médico cancerologista pediátrico');"
225124;Médico pediatra;"INSERT INTO states (code, title) VALUES ('225124','Médico pediatra');"
225125;Médico clínico;"INSERT INTO states (code, title) VALUES ('225125','Médico clínico');"
225127;Médico pneumologista;"INSERT INTO states (code, title) VALUES ('225127','Médico pneumologista');"
225130;Médico de família e comunidade;"INSERT INTO states (code, title) VALUES ('225130','Médico de família e comunidade');"
225133;Médico psiquiatra;"INSERT INTO states (code, title) VALUES ('225133','Médico psiquiatra');"
225220;Médico cirurgião do aparelho digestivo;"INSERT INTO states (code, title) VALUES ('225220','Médico cirurgião do aparelho digestivo');"
225225;Médico cirurgião geral;"INSERT INTO states (code, title) VALUES ('225225','Médico cirurgião geral');"
225210;Médico cirurgião cardiovascular;"INSERT INTO states (code, title) VALUES ('225210','Médico cirurgião cardiovascular');"
225203;Médico em cirurgia vascular;"INSERT INTO states (code, title) VALUES ('225203','Médico em cirurgia vascular');"
225295;Médico cirurgião da mão;"INSERT INTO states (code, title) VALUES ('225295','Médico cirurgião da mão');"
225290;Médico cancerologista cirurgíco;"INSERT INTO states (code, title) VALUES ('225290','Médico cancerologista cirurgíco');"
225285;Médico urologista;"INSERT INTO states (code, title) VALUES ('225285','Médico urologista');"
225280;Médico coloproctologista;"INSERT INTO states (code, title) VALUES ('225280','Médico coloproctologista');"
225275;Médico otorrinolaringologista;"INSERT INTO states (code, title) VALUES ('225275','Médico otorrinolaringologista');"
225270;Médico ortopedista e traumatologista;"INSERT INTO states (code, title) VALUES ('225270','Médico ortopedista e traumatologista');"
225265;Médico oftalmologista;"INSERT INTO states (code, title) VALUES ('225265','Médico oftalmologista');"
225260;Médico neurocirurgião;"INSERT INTO states (code, title) VALUES ('225260','Médico neurocirurgião');"
225255;Médico mastologista;"INSERT INTO states (code, title) VALUES ('225255','Médico mastologista');"
225250;Médico ginecologista e obstetra;"INSERT INTO states (code, title) VALUES ('225250','Médico ginecologista e obstetra');"
225240;Médico cirurgião torácico;"INSERT INTO states (code, title) VALUES ('225240','Médico cirurgião torácico');"
225235;Médico cirurgião plástico;"INSERT INTO states (code, title) VALUES ('225235','Médico cirurgião plástico');"
225230;Médico cirurgião pediátrico;"INSERT INTO states (code, title) VALUES ('225230','Médico cirurgião pediátrico');"
225215;Médico cirurgião de cabeça e pescoço;"INSERT INTO states (code, title) VALUES ('225215','Médico cirurgião de cabeça e pescoço');"
225305;Médico citopatologista;"INSERT INTO states (code, title) VALUES ('225305','Médico citopatologista');"
225310;Médico em endoscopia;"INSERT INTO states (code, title) VALUES ('225310','Médico em endoscopia');"
225315;Médico em medicina nuclear;"INSERT INTO states (code, title) VALUES ('225315','Médico em medicina nuclear');"
225320;Médico em radiologia e diagnóstico por imagem;"INSERT INTO states (code, title) VALUES ('225320','Médico em radiologia e diagnóstico por imagem');"
225325;Médico patologista;"INSERT INTO states (code, title) VALUES ('225325','Médico patologista');"
225330;Médico radioterapeuta;"INSERT INTO states (code, title) VALUES ('225330','Médico radioterapeuta');"
225335;Médico patologista clínico / medicina laboratorial;"INSERT INTO states (code, title) VALUES ('225335','Médico patologista clínico / medicina laboratorial');"
225340;Médico hemoterapeuta;"INSERT INTO states (code, title) VALUES ('225340','Médico hemoterapeuta');"
225345;Médico hiperbarista;"INSERT INTO states (code, title) VALUES ('225345','Médico hiperbarista');"
225350;Médico neurofisiologista clínico;"INSERT INTO states (code, title) VALUES ('225350','Médico neurofisiologista clínico');"
226105;Quiropraxista;"INSERT INTO states (code, title) VALUES ('226105','Quiropraxista');"
226110;Osteopata;"INSERT INTO states (code, title) VALUES ('226110','Osteopata');"
226315;Equoterapeuta;"INSERT INTO states (code, title) VALUES ('226315','Equoterapeuta');"
226305;Musicoterapeuta;"INSERT INTO states (code, title) VALUES ('226305','Musicoterapeuta');"
226320;Naturólogo;"INSERT INTO states (code, title) VALUES ('226320','Naturólogo');"
226310;Arteterapeuta;"INSERT INTO states (code, title) VALUES ('226310','Arteterapeuta');"
231110;Professor de nível superior na educação infantil (zero a três anos);"INSERT INTO states (code, title) VALUES ('231110','Professor de nível superior na educação infantil (zero a três anos)');"
231105;Professor de nível superior na educação infantil (quatro a seis anos);"INSERT INTO states (code, title) VALUES ('231105','Professor de nível superior na educação infantil (quatro a seis anos)');"
231205;Professor da  educação de jovens e adultos do ensino fundamental (primeira a quarta série);"INSERT INTO states (code, title) VALUES ('231205','Professor da  educação de jovens e adultos do ensino fundamental (primeira a quarta série)');"
231210;Professor de nível superior do ensino fundamental (primeira a quarta série);"INSERT INTO states (code, title) VALUES ('231210','Professor de nível superior do ensino fundamental (primeira a quarta série)');"
231320;Professor de geografia do ensino fundamental;"INSERT INTO states (code, title) VALUES ('231320','Professor de geografia do ensino fundamental');"
231325;Professor de história do ensino fundamental;"INSERT INTO states (code, title) VALUES ('231325','Professor de história do ensino fundamental');"
231330;Professor de língua estrangeira moderna do ensino fundamental;"INSERT INTO states (code, title) VALUES ('231330','Professor de língua estrangeira moderna do ensino fundamental');"
231315;Professor de educação física do ensino fundamental;"INSERT INTO states (code, title) VALUES ('231315','Professor de educação física do ensino fundamental');"
231310;Professor de educação artística do ensino fundamental;"INSERT INTO states (code, title) VALUES ('231310','Professor de educação artística do ensino fundamental');"
231335;Professor de língua portuguesa do ensino fundamental;"INSERT INTO states (code, title) VALUES ('231335','Professor de língua portuguesa do ensino fundamental');"
231340;Professor de matemática do ensino fundamental;"INSERT INTO states (code, title) VALUES ('231340','Professor de matemática do ensino fundamental');"
231305;Professor de ciências exatas e naturais do ensino fundamental;"INSERT INTO states (code, title) VALUES ('231305','Professor de ciências exatas e naturais do ensino fundamental');"
232105;Professor de artes no ensino médio;"INSERT INTO states (code, title) VALUES ('232105','Professor de artes no ensino médio');"
232120;Professor de educação física no ensino médio;"INSERT INTO states (code, title) VALUES ('232120','Professor de educação física no ensino médio');"
232125;Professor de filosofia no ensino médio;"INSERT INTO states (code, title) VALUES ('232125','Professor de filosofia no ensino médio');"
232130;Professor de física no ensino médio;"INSERT INTO states (code, title) VALUES ('232130','Professor de física no ensino médio');"
232135;Professor de geografia no ensino médio;"INSERT INTO states (code, title) VALUES ('232135','Professor de geografia no ensino médio');"
232145;Professor de língua e literatura brasileira no ensino médio;"INSERT INTO states (code, title) VALUES ('232145','Professor de língua e literatura brasileira no ensino médio');"
232165;Professor de química no ensino médio;"INSERT INTO states (code, title) VALUES ('232165','Professor de química no ensino médio');"
232170;Professor de sociologia no ensino médio;"INSERT INTO states (code, title) VALUES ('232170','Professor de sociologia no ensino médio');"
232110;Professor de biologia no ensino médio;"INSERT INTO states (code, title) VALUES ('232110','Professor de biologia no ensino médio');"
232115;Professor de disciplinas pedagógicas no ensino médio;"INSERT INTO states (code, title) VALUES ('232115','Professor de disciplinas pedagógicas no ensino médio');"
232140;Professor de história no ensino médio;"INSERT INTO states (code, title) VALUES ('232140','Professor de história no ensino médio');"
232150;Professor de língua estrangeira moderna no ensino médio;"INSERT INTO states (code, title) VALUES ('232150','Professor de língua estrangeira moderna no ensino médio');"
232160;Professor de psicologia no ensino médio;"INSERT INTO states (code, title) VALUES ('232160','Professor de psicologia no ensino médio');"
232155;Professor de matemática no ensino médio;"INSERT INTO states (code, title) VALUES ('232155','Professor de matemática no ensino médio');"
233105;Professor da área de meio ambiente;"INSERT INTO states (code, title) VALUES ('233105','Professor da área de meio ambiente');"
233110;Professor de desenho técnico;"INSERT INTO states (code, title) VALUES ('233110','Professor de desenho técnico');"
233115;Professor de técnicas agrícolas;"INSERT INTO states (code, title) VALUES ('233115','Professor de técnicas agrícolas');"
233120;Professor de técnicas comerciais e secretariais;"INSERT INTO states (code, title) VALUES ('233120','Professor de técnicas comerciais e secretariais');"
233125;Professor de técnicas de enfermagem;"INSERT INTO states (code, title) VALUES ('233125','Professor de técnicas de enfermagem');"
233130;Professor de técnicas industriais;"INSERT INTO states (code, title) VALUES ('233130','Professor de técnicas industriais');"
233135;Professor de tecnologia e cálculo técnico;"INSERT INTO states (code, title) VALUES ('233135','Professor de tecnologia e cálculo técnico');"
233205;Instrutor de aprendizagem e treinamento agropecuário;"INSERT INTO states (code, title) VALUES ('233205','Instrutor de aprendizagem e treinamento agropecuário');"
233210;Instrutor de aprendizagem e treinamento industrial;"INSERT INTO states (code, title) VALUES ('233210','Instrutor de aprendizagem e treinamento industrial');"
233215;Instrutor de aprendizagem e treinamento comercial;"INSERT INTO states (code, title) VALUES ('233215','Instrutor de aprendizagem e treinamento comercial');"
233220;Professor instrutor de ensino e aprendizagem agroflorestal;"INSERT INTO states (code, title) VALUES ('233220','Professor instrutor de ensino e aprendizagem agroflorestal');"
233225;Professor instrutor de ensino e aprendizagem em serviços;"INSERT INTO states (code, title) VALUES ('233225','Professor instrutor de ensino e aprendizagem em serviços');"
234105;Professor de matemática aplicada (no ensino superior);"INSERT INTO states (code, title) VALUES ('234105','Professor de matemática aplicada (no ensino superior)');"
234110;Professor de matemática pura (no ensino superior);"INSERT INTO states (code, title) VALUES ('234110','Professor de matemática pura (no ensino superior)');"
234115;Professor de estatística (no ensino superior);"INSERT INTO states (code, title) VALUES ('234115','Professor de estatística (no ensino superior)');"
234120;Professor de computação (no ensino superior);"INSERT INTO states (code, title) VALUES ('234120','Professor de computação (no ensino superior)');"
234125;Professor de pesquisa operacional (no ensino superior);"INSERT INTO states (code, title) VALUES ('234125','Professor de pesquisa operacional (no ensino superior)');"
234205;Professor de física (ensino superior);"INSERT INTO states (code, title) VALUES ('234205','Professor de física (ensino superior)');"
234215;Professor de astronomia (ensino superior);"INSERT INTO states (code, title) VALUES ('234215','Professor de astronomia (ensino superior)');"
234210;Professor de química (ensino superior);"INSERT INTO states (code, title) VALUES ('234210','Professor de química (ensino superior)');"
234305;Professor de arquitetura;"INSERT INTO states (code, title) VALUES ('234305','Professor de arquitetura');"
234315;Professor de geofísica;"INSERT INTO states (code, title) VALUES ('234315','Professor de geofísica');"
234310;Professor de engenharia;"INSERT INTO states (code, title) VALUES ('234310','Professor de engenharia');"
234320;Professor de geologia;"INSERT INTO states (code, title) VALUES ('234320','Professor de geologia');"
234405;Professor de ciências biológicas do ensino superior;"INSERT INTO states (code, title) VALUES ('234405','Professor de ciências biológicas do ensino superior');"
234415;Professor de enfermagem do ensino superior;"INSERT INTO states (code, title) VALUES ('234415','Professor de enfermagem do ensino superior');"
234450;Professor de odontologia;"INSERT INTO states (code, title) VALUES ('234450','Professor de odontologia');"
234445;Professor de nutrição;"INSERT INTO states (code, title) VALUES ('234445','Professor de nutrição');"
234440;Professor de medicina veterinária;"INSERT INTO states (code, title) VALUES ('234440','Professor de medicina veterinária');"
234410;Professor de educação física no ensino superior;"INSERT INTO states (code, title) VALUES ('234410','Professor de educação física no ensino superior');"
234455;Professor de terapia ocupacional;"INSERT INTO states (code, title) VALUES ('234455','Professor de terapia ocupacional');"
234460;Professor de zootecnia do ensino superior;"INSERT INTO states (code, title) VALUES ('234460','Professor de zootecnia do ensino superior');"
234420;Professor de farmácia e bioquímica;"INSERT INTO states (code, title) VALUES ('234420','Professor de farmácia e bioquímica');"
234425;Professor de fisioterapia;"INSERT INTO states (code, title) VALUES ('234425','Professor de fisioterapia');"
234430;Professor de fonoaudiologia;"INSERT INTO states (code, title) VALUES ('234430','Professor de fonoaudiologia');"
234435;Professor de medicina;"INSERT INTO states (code, title) VALUES ('234435','Professor de medicina');"
234510;Professor de ensino superior na área de orientação educacional;"INSERT INTO states (code, title) VALUES ('234510','Professor de ensino superior na área de orientação educacional');"
234505;Professor de ensino superior na área de didática;"INSERT INTO states (code, title) VALUES ('234505','Professor de ensino superior na área de didática');"
234515;Professor de ensino superior na área de pesquisa educacional;"INSERT INTO states (code, title) VALUES ('234515','Professor de ensino superior na área de pesquisa educacional');"
234520;Professor de ensino superior na área de prática de ensino;"INSERT INTO states (code, title) VALUES ('234520','Professor de ensino superior na área de prática de ensino');"
234628;Professor de literatura brasileira;"INSERT INTO states (code, title) VALUES ('234628','Professor de literatura brasileira');"
234632;Professor de literatura portuguesa;"INSERT INTO states (code, title) VALUES ('234632','Professor de literatura portuguesa');"
234640;Professor de literatura comparada;"INSERT INTO states (code, title) VALUES ('234640','Professor de literatura comparada');"
234660;Professor de literatura de línguas estrangeiras modernas;"INSERT INTO states (code, title) VALUES ('234660','Professor de literatura de línguas estrangeiras modernas');"
234668;Professor de línguas estrangeiras modernas;"INSERT INTO states (code, title) VALUES ('234668','Professor de línguas estrangeiras modernas');"
234672;Professor de lingüística e lingüística aplicada;"INSERT INTO states (code, title) VALUES ('234672','Professor de lingüística e lingüística aplicada');"
234676;Professor de filologia e crítica textual;"INSERT INTO states (code, title) VALUES ('234676','Professor de filologia e crítica textual');"
234680;Professor de semiótica;"INSERT INTO states (code, title) VALUES ('234680','Professor de semiótica');"
234684;Professor de teoria da literatura;"INSERT INTO states (code, title) VALUES ('234684','Professor de teoria da literatura');"
234604;Professor de língua alemã;"INSERT INTO states (code, title) VALUES ('234604','Professor de língua alemã');"
234608;Professor de língua italiana;"INSERT INTO states (code, title) VALUES ('234608','Professor de língua italiana');"
234612;Professor de língua francesa;"INSERT INTO states (code, title) VALUES ('234612','Professor de língua francesa');"
234616;Professor de língua inglesa;"INSERT INTO states (code, title) VALUES ('234616','Professor de língua inglesa');"
234620;Professor de língua espanhola;"INSERT INTO states (code, title) VALUES ('234620','Professor de língua espanhola');"
234636;Professor de literatura alemã;"INSERT INTO states (code, title) VALUES ('234636','Professor de literatura alemã');"
234644;Professor de literatura espanhola;"INSERT INTO states (code, title) VALUES ('234644','Professor de literatura espanhola');"
234648;Professor de literatura francesa;"INSERT INTO states (code, title) VALUES ('234648','Professor de literatura francesa');"
234652;Professor de literatura inglesa;"INSERT INTO states (code, title) VALUES ('234652','Professor de literatura inglesa');"
234656;Professor de literatura italiana;"INSERT INTO states (code, title) VALUES ('234656','Professor de literatura italiana');"
234664;Professor de outras línguas e literaturas;"INSERT INTO states (code, title) VALUES ('234664','Professor de outras línguas e literaturas');"
234624;Professor de língua portuguesa;"INSERT INTO states (code, title) VALUES ('234624','Professor de língua portuguesa');"
234705;Professor de antropologia do ensino superior;"INSERT INTO states (code, title) VALUES ('234705','Professor de antropologia do ensino superior');"
234710;Professor de arquivologia do ensino superior;"INSERT INTO states (code, title) VALUES ('234710','Professor de arquivologia do ensino superior');"
234770;Professor de sociologia do ensino superior;"INSERT INTO states (code, title) VALUES ('234770','Professor de sociologia do ensino superior');"
234765;Professor de serviço social do ensino superior;"INSERT INTO states (code, title) VALUES ('234765','Professor de serviço social do ensino superior');"
234760;Professor de psicologia do ensino superior;"INSERT INTO states (code, title) VALUES ('234760','Professor de psicologia do ensino superior');"
234755;Professor de museologia do ensino superior;"INSERT INTO states (code, title) VALUES ('234755','Professor de museologia do ensino superior');"
234715;Professor de biblioteconomia do ensino superior;"INSERT INTO states (code, title) VALUES ('234715','Professor de biblioteconomia do ensino superior');"
234745;Professor de história do ensino superior;"INSERT INTO states (code, title) VALUES ('234745','Professor de história do ensino superior');"
234740;Professor de geografia do ensino superior;"INSERT INTO states (code, title) VALUES ('234740','Professor de geografia do ensino superior');"
234735;Professor de filosofia do ensino superior;"INSERT INTO states (code, title) VALUES ('234735','Professor de filosofia do ensino superior');"
234730;Professor de direito do ensino superior;"INSERT INTO states (code, title) VALUES ('234730','Professor de direito do ensino superior');"
234725;Professor de comunicação social do ensino superior;"INSERT INTO states (code, title) VALUES ('234725','Professor de comunicação social do ensino superior');"
234720;Professor de ciência política do ensino superior;"INSERT INTO states (code, title) VALUES ('234720','Professor de ciência política do ensino superior');"
234750;Professor de jornalismo;"INSERT INTO states (code, title) VALUES ('234750','Professor de jornalismo');"
234815;Professor de contabilidade;"INSERT INTO states (code, title) VALUES ('234815','Professor de contabilidade');"
234805;Professor de economia;"INSERT INTO states (code, title) VALUES ('234805','Professor de economia');"
234810;Professor de administração;"INSERT INTO states (code, title) VALUES ('234810','Professor de administração');"
234915;Professor de música no ensino superior;"INSERT INTO states (code, title) VALUES ('234915','Professor de música no ensino superior');"
234910;Professor de artes visuais no ensino superior (artes plásticas e multimídia);"INSERT INTO states (code, title) VALUES ('234910','Professor de artes visuais no ensino superior (artes plásticas e multimídia)');"
234905;Professor de artes do espetáculo no ensino superior;"INSERT INTO states (code, title) VALUES ('234905','Professor de artes do espetáculo no ensino superior');"
239205;Professor de alunos com deficiência auditiva e surdos;"INSERT INTO states (code, title) VALUES ('239205','Professor de alunos com deficiência auditiva e surdos');"
239210;Professor de alunos com deficiência física;"INSERT INTO states (code, title) VALUES ('239210','Professor de alunos com deficiência física');"
239220;Professor de alunos com deficiência múltipla;"INSERT INTO states (code, title) VALUES ('239220','Professor de alunos com deficiência múltipla');"
239225;Professor de alunos com deficiência visual;"INSERT INTO states (code, title) VALUES ('239225','Professor de alunos com deficiência visual');"
239215;Professor de alunos com deficiência mental;"INSERT INTO states (code, title) VALUES ('239215','Professor de alunos com deficiência mental');"
239415;Pedagogo;"INSERT INTO states (code, title) VALUES ('239415','Pedagogo');"
239410;Orientador educacional;"INSERT INTO states (code, title) VALUES ('239410','Orientador educacional');"
239405;Coordenador pedagógico;"INSERT INTO states (code, title) VALUES ('239405','Coordenador pedagógico');"
239425;Psicopedagogo;"INSERT INTO states (code, title) VALUES ('239425','Psicopedagogo');"
239430;Supervisor de ensino;"INSERT INTO states (code, title) VALUES ('239430','Supervisor de ensino');"
239435;Designer educacional;"INSERT INTO states (code, title) VALUES ('239435','Designer educacional');"
239420;Professor de técnicas e recursos audiovisuais;"INSERT INTO states (code, title) VALUES ('239420','Professor de técnicas e recursos audiovisuais');"
241040;Consultor jurídico;"INSERT INTO states (code, title) VALUES ('241040','Consultor jurídico');"
241035;Advogado (direito do trabalho);"INSERT INTO states (code, title) VALUES ('241035','Advogado (direito do trabalho)');"
241030;Advogado (áreas especiais);"INSERT INTO states (code, title) VALUES ('241030','Advogado (áreas especiais)');"
241025;Advogado (direito penal);"INSERT INTO states (code, title) VALUES ('241025','Advogado (direito penal)');"
241020;Advogado (direito público);"INSERT INTO states (code, title) VALUES ('241020','Advogado (direito público)');"
241015;Advogado (direito civil);"INSERT INTO states (code, title) VALUES ('241015','Advogado (direito civil)');"
241010;Advogado de empresa;"INSERT INTO states (code, title) VALUES ('241010','Advogado de empresa');"
241005;Advogado;"INSERT INTO states (code, title) VALUES ('241005','Advogado');"
241225;Procurador do município;"INSERT INTO states (code, title) VALUES ('241225','Procurador do município');"
241205;Advogado da união;"INSERT INTO states (code, title) VALUES ('241205','Advogado da união');"
241235;Procurador fundacional;"INSERT INTO states (code, title) VALUES ('241235','Procurador fundacional');"
241230;Procurador federal;"INSERT INTO states (code, title) VALUES ('241230','Procurador federal');"
241210;Procurador autárquico;"INSERT INTO states (code, title) VALUES ('241210','Procurador autárquico');"
241220;Procurador do estado;"INSERT INTO states (code, title) VALUES ('241220','Procurador do estado');"
241215;Procurador da fazenda nacional;"INSERT INTO states (code, title) VALUES ('241215','Procurador da fazenda nacional');"
241315;Oficial do registro civil de pessoas naturais;"INSERT INTO states (code, title) VALUES ('241315','Oficial do registro civil de pessoas naturais');"
241340;Tabelião de protestos;"INSERT INTO states (code, title) VALUES ('241340','Tabelião de protestos');"
241320;Oficial do registro de distribuições;"INSERT INTO states (code, title) VALUES ('241320','Oficial do registro de distribuições');"
241325;Oficial do registro de imóveis;"INSERT INTO states (code, title) VALUES ('241325','Oficial do registro de imóveis');"
241330;Oficial do registro de títulos e documentos;"INSERT INTO states (code, title) VALUES ('241330','Oficial do registro de títulos e documentos');"
241305;Oficial de registro de contratos marítimos;"INSERT INTO states (code, title) VALUES ('241305','Oficial de registro de contratos marítimos');"
241310;Oficial do registro civil de pessoas jurídicas;"INSERT INTO states (code, title) VALUES ('241310','Oficial do registro civil de pessoas jurídicas');"
241335;Tabelião de notas;"INSERT INTO states (code, title) VALUES ('241335','Tabelião de notas');"
242220;Procurador do trabalho;"INSERT INTO states (code, title) VALUES ('242220','Procurador do trabalho');"
242250;Subprocurador-geral do trabalho;"INSERT INTO states (code, title) VALUES ('242250','Subprocurador-geral do trabalho');"
242235;Promotor de justiça;"INSERT INTO states (code, title) VALUES ('242235','Promotor de justiça');"
242210;Procurador de justiça;"INSERT INTO states (code, title) VALUES ('242210','Procurador de justiça');"
242245;Subprocurador-geral da república;"INSERT INTO states (code, title) VALUES ('242245','Subprocurador-geral da república');"
242240;Subprocurador de justiça militar;"INSERT INTO states (code, title) VALUES ('242240','Subprocurador de justiça militar');"
242205;Procurador da república;"INSERT INTO states (code, title) VALUES ('242205','Procurador da república');"
242230;Procurador regional do trabalho;"INSERT INTO states (code, title) VALUES ('242230','Procurador regional do trabalho');"
242225;Procurador regional da república;"INSERT INTO states (code, title) VALUES ('242225','Procurador regional da república');"
242215;Procurador de justiça militar;"INSERT INTO states (code, title) VALUES ('242215','Procurador de justiça militar');"
242305;Delegado de polícia;"INSERT INTO states (code, title) VALUES ('242305','Delegado de polícia');"
242410;Procurador da assistência judiciária;"INSERT INTO states (code, title) VALUES ('242410','Procurador da assistência judiciária');"
242405;Defensor público;"INSERT INTO states (code, title) VALUES ('242405','Defensor público');"
242910;Oficial técnico de inteligência;"INSERT INTO states (code, title) VALUES ('242910','Oficial técnico de inteligência');"
242905;Oficial de inteligência;"INSERT INTO states (code, title) VALUES ('242905','Oficial de inteligência');"
251120;Sociólogo;"INSERT INTO states (code, title) VALUES ('251120','Sociólogo');"
251115;Cientista político;"INSERT INTO states (code, title) VALUES ('251115','Cientista político');"
251105;Antropólogo;"INSERT INTO states (code, title) VALUES ('251105','Antropólogo');"
251110;Arqueólogo;"INSERT INTO states (code, title) VALUES ('251110','Arqueólogo');"
251210;Economista agroindustrial;"INSERT INTO states (code, title) VALUES ('251210','Economista agroindustrial');"
251205;Economista;"INSERT INTO states (code, title) VALUES ('251205','Economista');"
251215;Economista financeiro;"INSERT INTO states (code, title) VALUES ('251215','Economista financeiro');"
251225;Economista do setor público;"INSERT INTO states (code, title) VALUES ('251225','Economista do setor público');"
251230;Economista ambiental;"INSERT INTO states (code, title) VALUES ('251230','Economista ambiental');"
251235;Economista regional e urbano;"INSERT INTO states (code, title) VALUES ('251235','Economista regional e urbano');"
251220;Economista industrial;"INSERT INTO states (code, title) VALUES ('251220','Economista industrial');"
251305;Geógrafo;"INSERT INTO states (code, title) VALUES ('251305','Geógrafo');"
251405;Filósofo;"INSERT INTO states (code, title) VALUES ('251405','Filósofo');"
251505;Psicólogo educacional;"INSERT INTO states (code, title) VALUES ('251505','Psicólogo educacional');"
251515;Psicólogo do esporte;"INSERT INTO states (code, title) VALUES ('251515','Psicólogo do esporte');"
251510;Psicólogo clínico;"INSERT INTO states (code, title) VALUES ('251510','Psicólogo clínico');"
251520;Psicólogo hospitalar;"INSERT INTO states (code, title) VALUES ('251520','Psicólogo hospitalar');"
251525;Psicólogo jurídico;"INSERT INTO states (code, title) VALUES ('251525','Psicólogo jurídico');"
251530;Psicólogo social;"INSERT INTO states (code, title) VALUES ('251530','Psicólogo social');"
251535;Psicólogo do trânsito;"INSERT INTO states (code, title) VALUES ('251535','Psicólogo do trânsito');"
251540;Psicólogo do trabalho;"INSERT INTO states (code, title) VALUES ('251540','Psicólogo do trabalho');"
251555;Psicólogo acupunturista;"INSERT INTO states (code, title) VALUES ('251555','Psicólogo acupunturista');"
251550;Psicanalista;"INSERT INTO states (code, title) VALUES ('251550','Psicanalista');"
251545;Neuropsicólogo;"INSERT INTO states (code, title) VALUES ('251545','Neuropsicólogo');"
251610;Economista doméstico;"INSERT INTO states (code, title) VALUES ('251610','Economista doméstico');"
251605;Assistente social;"INSERT INTO states (code, title) VALUES ('251605','Assistente social');"
252105;Administrador;"INSERT INTO states (code, title) VALUES ('252105','Administrador');"
252205;Auditor (contadores e afins);"INSERT INTO states (code, title) VALUES ('252205','Auditor (contadores e afins)');"
252210;Contador;"INSERT INTO states (code, title) VALUES ('252210','Contador');"
